Sector	Symbol	PBR	MarketCap
Communication Services	WBD	0.6	27.66B
Communication Services	PARA	0.6	13.73B
Communication Services	T	0.9	109.43B
Communication Services	FOX	1.3	14.25B
Communication Services	VZ	1.4	131.62B
Consumer Discretionary	GM	0.5	41.52B
Consumer Discretionary	MHK	0.7	5.76B
Consumer Discretionary	F	1.1	49.07B
Consumer Discretionary	BWA	1.2	9.1B
Consumer Discretionary	LEN	1.2	31.42B
Consumer Staples	KHC	0.8	38.56B
Consumer Staples	WBA	0.9	27.26B
Consumer Staples	TAP	1.0	13.32B
Consumer Staples	TSN	1.1	20.82B
Consumer Staples	BG	1.5	17.31B
Energy	KMI	1.2	38.14B
Energy	EQT	1.3	15.68B
Energy	CTRA	1.7	21.96B
Energy	FANG	1.8	29.85B
Energy	CVX	1.9	306.7B
Financials	BRK-B	0.0	572.19M
Financials	IVZ	0.4	7.46B
Financials	TFC	0.6	37.84B
Financials	C	0.6	128.42B
Financials	CFG	0.7	16.64B
Health Care	VTRS	0.5	11.39B
Health Care	BIO	1.2	10.42B
Health Care	UHS	1.4	8.61B
Health Care	RVTY	1.7	13.16B
Health Care	CNC	1.7	43.69B
Industrials	ALK	1.2	4.56B
Industrials	LUV	1.4	15.09B
Industrials	RTX	1.4	106.62B
Industrials	SWK	1.5	14.41B
Industrials	UAL	1.6	12.7B
Information Technology	HPE	1.0	21.14B
Information Technology	INTC	1.4	150.64B
Information Technology	MU	1.7	75.78B
Information Technology	JNPR	1.9	8.15B
Information Technology	TDY	2.2	19.09B
Materials	WRK	0.9	9.47B
Materials	MOS	1.0	12.08B
Materials	IFF	1.0	17.87B
Materials	DD	1.3	34.61B
Materials	CTVA	1.3	35.16B
Real Estate	ARE	0.7	16.9B
Real Estate	BXP	1.0	8.7B
Real Estate	KIM	1.1	10.59B
Real Estate	O	1.1	35.86B
Real Estate	VICI	1.2	29.15B
Utilities	EVRG	1.2	11.47B
Utilities	D	1.2	35.05B
Utilities	ES	1.3	19.81B
Utilities	PPL	1.3	18.4B
Utilities	DUK	1.3	68.37B
